Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 ,2021,2022
India,IND,4.19892115955123,6.85133340791346,1.96595243736218,2.94531935910594,1.97590798401733,6.01652056403348,6.13260616764802,6.20601103218459,6.42604471464323,6.09362577949739,1.63078058948642,6.37170938858857,7.0131745803792,3.81807313030191,4.06082356979447,5.01461186440864,6.0861802271277,6.72106763067042,6.9809897013302,5.56833351357233,5.30240867857405,2.8118731022506,-6.72629208017965,8.18436771562176,6.27740381398618
Germany,DEU,1.99848532107309,1.82142803058096,2.77322125091402,1.5105582606794,-0.365628327264105,-0.755077166602604,1.1970553521185,0.788917115869921,3.9336103307084,3.11424588261349,1.1520297421751,-5.45457716940945,4.33960677706354,5.86963573749217,0.230160992711959,0.163870562978019,1.7843418861469,0.617105353219898,1.40810207548923,2.29720604740949,0.678212594110718,0.828957962184475,-3.77542971403229,2.58355747499036,0.715380074484287
France,FRA,3.20515305526739,2.8886986204338,3.21238484755931,1.24252728979701,0.401189128588285,0.109402978570955,2.07662490819244,0.903680386720666,1.74108525754491,1.79523636713417,-0.302483826449375,-3.37039728344885,1.44824526229692,1.70061040175906,-0.171161336111382,0.0581495050462166,0.484564448270447,0.754024352327519,0.829056664516742,1.99499844733441,1.50053912327405,1.49589898756051,-8.0344742951426,6.53511998290108,2.28154729094636
United Kingdom,GBR,2.85711829360451,2.67118741957113,3.72139315610332,1.76490267745437,1.34084256627254,2.64398621105464,1.76434011176971,1.96581978614296,1.41222970752655,1.76793481398857,-0.937077971964982,-5.23003482601088,1.63027404455211,0.280839242919754,0.745478657756621,1.14021296406929,2.44246580096015,1.58497938949145,1.39384882462006,1.74995379706114,1.09062395623573,1.0327408419658,-11.3556760569182,7.68565664671709,4.18694187519546
China,CHN,6.8160645646963,6.73348565843446,7.63859767603294,7.55165483155264,8.40487997514565,9.35477664390774,9.4615587704991,10.7413751264029,12.0933046939024,13.6358205006408,9.09028010153618,8.85594767555551,10.1028326227139,8.95381604183163,7.13452377748027,7.05073413381821,6.75076031594273,6.42073647723056,6.23821544775225,6.30186310052261,6.25170055569883,5.57531686303849,1.99555804186929,8.35072971470412,3.00429676323482
Australia,AUS,3.57581858683417,3.81438537004641,2.71882936967131,0.739613357802241,2.81732541280495,1.9322128506921,3.10828675546351,1.90568336819068,1.36351402929009,1.90115067736041,1.51351019988101,-0.207409289676164,0.628836598169386,0.978468035158599,2.10380811026087,0.828325557835214,1.06033708469104,0.693065822727618,1.13842433965326,0.604963407727865,1.34828275238704,0.665151144847243,-1.27835805936483,2.10571122890686,2.45750262798656
Japan,JPN,-1.53824407565509,-0.515740590055131,2.59289108650813,0.144511690084897,-0.190392013612978,1.31809196241525,2.15172332918605,1.79433980060388,1.30812718300903,1.36742232603785,-1.27210994887062,-5.68145234031182,4.07922304843274,0.209251802819637,1.53678665884595,2.15237106564643,0.429381122520397,1.66846511711745,0.805362824616168,1.75861180161444,0.771168471432333,-0.262170828589063,-3.99658184852701,2.61337630961411,1.47803898559201
Canada,CAN,3.03747599130375,4.31156936976191,4.20268257440837,0.690161249997033,1.90385200150641,0.888030154206845,2.12963094088859,2.23405942944252,1.6025747643792,1.08536734019415,-0.0835924316829164,-4.02800308095813,1.95004833364148,2.14153573381914,0.662000650851027,1.25361381330025,1.84102612431141,-0.089285801148975,-0.135842621321913,1.81127891680259,1.33556428524561,0.435426335836112,-6.08821204931374,4.40927515325929,1.52799048000773
United States,USA,3.27051107297336,3.59798501816873,2.92544098347776,-0.0399197287893003,0.756774050858581,1.91648045091225,2.89584777850045,2.53378411366741,1.79648632582968,1.04493013677586,-0.820367898524154,-3.45001592321435,1.86029167805893,0.814519357932042,1.53310203539129,1.13869234666606,1.54038064866397,1.95300411790625,0.933375361665711,1.59713559028371,2.40486787201,1.82966838809384,-3.70095252825833,5.77954841835778,1.67697129735933

